sentence,label,text_lower,text_normalized,text_preprocessed
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,neutral,finnish beverage company olvi is introducing a new long drink olvi kultalonkero ( `` golden long drink '' ) in the market in finland in the spring of 2009 .,finnish beverage company olvi is introducing a new long drink olvi kultalonkero golden long drink in the market in finland in the spring of < >,finnish beverage company olvi introducing new long drink olvi kultalonkero golden long drink market finland spring
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",positive,"finnish geosentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a eur 6mn short-term funding with its leading investor .",finnish geosentric a developer and provider of solutions products and technologies for location based services has preliminary agreed on a eur mn short term funding with its leading investor,finnish geosentric developer provider solutions products technologies location based services preliminary agreed eur mn short term funding leading investor
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food .,positive,finnish raisio ( diagnostics ) is launching new dna-based quick tests to ensure the safety of food .,finnish raisio diagnostics is launching new dna based quick tests to ensure the safety of food,finnish raisio diagnostics launching new dna based quick tests ensure safety food
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,finnish rautaruukki is selling its precision tube and automotive component processing unit carl froh in germany to german arques industries .,finnish rautaruukki is selling its precision tube and automotive component processing unit carl froh in germany to german arques industries,finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industries
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",negative,"finnish suominen corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its tampere plant in finland to lay off about 25 employees .",finnish suominen corporation that makes wet wipes nonwovens and flexible packaging is starting employer employee negotiations at its tampere plant in finland to lay off about < > employees,finnish suominen corporation makes wet wipes nonwovens flexible packaging starting employer employee negotiations tampere plant finland lay employees
Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,neutral,swedish wallenberg family controlled investor has bought a large stake of c shares in swedish retail bank seb .,swedish wallenberg family controlled investor has bought a large stake of c shares in swedish retail bank seb,swedish wallenberg family controlled investor bought large stake c shares swedish retail bank seb
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",negative,"according to arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",according to arokarhu some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed,according arokarhu purchases scanned cash register computer disappeared total sum key pressed
"According to Barclays , the F-Secure software will protect users from hackers , viruses , spyware and other digital attacks .",neutral,"according to barclays , the f-secure software will protect users from hackers , viruses , spyware and other digital attacks .",according to barclays the f secure software will protect users from hackers viruses spyware and other digital attacks,according barclays f secure software protect users hackers viruses spyware digital attacks
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,"according to capman plc 's corporate governance , the majority of the committees ' members shall be independent of the company .",according to capman plc s corporate governance the majority of the committees members shall be independent of the company,according capman plc s corporate governance majority committees members shall independent company
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,"according to finnair technical services , the measure is above all due to the employment situation .",according to finnair technical services the measure is above all due to the employment situation,according finnair technical services measure employment situation
"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .",neutral,"according to honka japan 's managing director marko saarelainen , honkarakenne exports about 200 ready made log houses to japan a year .",according to honka japan s managing director marko saarelainen honkarakenne exports about < > ready made log houses to japan a year,according honka japan s managing director marko saarelainen honkarakenne exports ready log houses japan year
"According to preliminary data from Slovakia 's Statistics Office , goods worth E36 .4 million were imported from Finland between January and October 2010 , making up 0.1 percent of Slovakia 's total imports .",neutral,"according to preliminary data from slovakia 's statistics office , goods worth e36 .4 million were imported from finland between january and october 2010 , making up 0.1 percent of slovakia 's total imports .",according to preliminary data from slovakia s statistics office goods worth e < > million were imported from finland between january and october < > making up < > percent of slovakia s total imports,according preliminary data slovakia s statistics office goods worth e million imported finland january october making percent slovakia s total imports
"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",neutral,"according to seikku , the retail sector in finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",according to seikku the retail sector in finland is controlled by < > < > large actors while food manufacturers are still relatively small,according seikku retail sector finland controlled large actors food manufacturers relatively small
"According to the company , staff will be laid off temporarily when necessary .",negative,"according to the company , staff will be laid off temporarily when necessary .",according to the company staff will be laid off temporarily when necessary,according company staff laid temporarily necessary
"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral,"according to tyrv+ñinen 's estimation , japan is a very essential location in terms of finnair 's asian strategy .",according to tyrv inen s estimation japan is a very essential location in terms of finnair s asian strategy,according tyrv inen s estimation japan essential location terms finnair s asian strategy
"According to Vauramo , the plant 's lifting equipment is suitable for Asian and for some Chinese trucks .",neutral,"according to vauramo , the plant 's lifting equipment is suitable for asian and for some chinese trucks .",according to vauramo the plant s lifting equipment is suitable for asian and for some chinese trucks,according vauramo plant s lifting equipment suitable asian chinese trucks
"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",neutral,"after the signing , the total amount of aspo 's revolving credit facility agreements is eur 50 million , which replaces the formerly valid agreements of eur 80 million .",after the signing the total amount of aspo s revolving credit facility agreements is eur < > million which replaces the formerly valid agreements of eur < > million,signing total aspo s revolving credit facility agreements eur million replaces valid agreements eur million
"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",neutral,"ahlstrom corporation stock exchange release 13.02.2008 ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of friend group inc. , which consists of west carrollton parchment company and west carrollton converting company .",ahlstrom corporation stock exchange release < > < > ahlstrom a global leader in high performance fiber based materials today announced the completion of the acquisition of friend group inc which consists of west carrollton parchment company and west carrollton converting company,ahlstrom corporation stock exchange release ahlstrom global leader high performance fiber based materials today announced completion acquisition friend group consists west carrollton parchment company west carrollton converting company
"Aho is proud of the company 's new product , Lordi-Cola .",neutral,"aho is proud of the company 's new product , lordi-cola .",aho is proud of the company s new product lordi cola,aho proud company s new product lordi cola
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,neutral,aldata to share space optimization vision at apollo user group and 2009 category management association conferences ; company will unveil new solution that combines business intelligence with space planning data at conferences,aldata to share space optimization vision at apollo user group and < > category management association conferences company will unveil new solution that combines business intelligence with space planning data at conferences,aldata share space optimization vision apollo user group category management association conferences company unveil new solution combines business intelligence space planning data conferences
"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral,"alexandria , va. , aug. 27 -- timo vataja of tampere , finland , virve inget of oulu , finland , have developed a computer program product with activating the right of use .",alexandria va aug < > timo vataja of tampere finland virve inget of oulu finland have developed a computer program product with activating the right of use,alexandria va aug timo vataja tampere finland virve inget oulu finland developed computer program product activating right use
"Also , a seven-year historic analysis is provided for these markets .",neutral,"also , a seven-year historic analysis is provided for these markets .",also a seven year historic analysis is provided for these markets,seven year historic analysis provided markets
"Also , a six-year historic analysis is provided for these markets .",neutral,"also , a six-year historic analysis is provided for these markets .",also a six year historic analysis is provided for these markets,year historic analysis provided markets
"Also , a six-year historic analysis is provided for this market .",neutral,"also , a six-year historic analysis is provided for this market .",also a six year historic analysis is provided for this market,year historic analysis provided market
"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",neutral,"also , technopolis plans to build a 100 million euro technology park at the special economic zone neudorf in st. petersburg , the st. petersburg government said in february .",also technopolis plans to build a < > million euro technology park at the special economic zone neudorf in st petersburg the st petersburg government said in february,technopolis plans build million euro technology park special economic zone neudorf st petersburg st petersburg government said february
Also Chile is an important market area for forest machine companies .,neutral,also chile is an important market area for forest machine companies .,also chile is an important market area for forest machine companies,chile important market area forest machine companies
Also the traditional grapevine carries a lot of weight .,neutral,also the traditional grapevine carries a lot of weight .,also the traditional grapevine carries a lot of weight,traditional grapevine carries lot weight
Altia 's operating profit jumped to EUR 47 million from EUR 6.6 million .,positive,altia 's operating profit jumped to eur 47 million from eur 6.6 million .,altia s operating profit jumped to eur < > million from eur < > million,altia s operating profit jumped eur million eur million
Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive,altimo and teliasonera said yesterday that usmanov would be welcome to join the new company .,altimo and teliasonera said yesterday that usmanov would be welcome to join the new company,altimo teliasonera said yesterday usmanov welcome join new company
Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 .,neutral,amanda said that it had already made a usd5 .0 m investment commitment in russia partners ii fund in july 2005 .,amanda said that it had already made a usd < > m investment commitment in russia partners ii fund in july < >,amanda said usd m investment commitment russia partners ii fund july
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,"an  of the invention , released by the patent office , said : `` the chambers are pressurized .",an of the invention released by the patent office said the chambers are pressurized,invention released patent office said chambers pressurized
An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral,an audio webcast will be available live and archived on cerner 's web site at www.cerner.com .,an audio webcast will be available live and archived on cerner s web site at www cerner com,audio webcast available live archived cerner s web site www cerner com
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,"anttila 's online department store - netanttila - has an established position as the best-known , most visited and most shopped online store in finland  .",anttila s online department store netanttila has an established position as the best known most visited and most shopped online store in finland,anttila s online department store netanttila established position best known visited shopped online store finland
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral,"apart from nordea , also ergo is competing for the position among the top three pension funds providers in estonia .",apart from nordea also ergo is competing for the position among the top three pension funds providers in estonia,apart nordea ergo competing position pension funds providers estonia
"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,"as a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in finland will be formed in sievi .",as a result of the merger the largest professional electronics and telecommunications technology contract manufacturing center in finland will be formed in sievi,result merger largest professional electronics telecommunications technology contract manufacturing center finland formed sievi
As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .,negative,as a result of the negotiations the employment of 130 blue - and white-collar employees at the oulu plant would be terminated .,as a result of the negotiations the employment of < > blue and white collar employees at the oulu plant would be terminated,result negotiations employment blue white collar employees oulu plant terminated
"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",neutral,"as of august 2008 , glaston 's north asian sales and service region is upgraded to a new market area , north asia .",as of august < > glaston s north asian sales and service region is upgraded to a new market area north asia,august glaston s north asian sales service region upgraded new market area north asia
"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+ñrtsil+ñ with UV technology for ballast water treatment .",neutral,"as the world leaders in developing uv technology for municipal wastewater , drinking water , and industrial water treatment systems , trojan technologies was a logical partner in providing w+ñrtsil+ñ with uv technology for ballast water treatment .",as the world leaders in developing uv technology for municipal wastewater drinking water and industrial water treatment systems trojan technologies was a logical partner in providing w rtsil with uv technology for ballast water treatment,world leaders developing uv technology municipal wastewater drinking water industrial water treatment systems trojan technologies logical partner providing w rtsil uv technology ballast water treatment
"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",neutral,"aspo 's strong company brands - esl shipping , leipurin , telko and kaukomarkkinat - aim to be the market leaders in their sectors .",aspo s strong company brands esl shipping leipurin telko and kaukomarkkinat aim to be the market leaders in their sectors,aspo s strong company brands esl shipping leipurin telko kaukomarkkinat aim market leaders sectors
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",neutral,"at this stage , a maximum of 60,000 tulikivi series a shares will be acquired , representing about 0.16 per cent of the company -¦ s shares outstanding .",at this stage a maximum of < > tulikivi series a shares will be acquired representing about < > per cent of the company s shares outstanding,stage maximum tulikivi series shares acquired representing cent company s shares outstanding
Atria Group is a leading Scandinavian meat products group .,positive,atria group is a leading scandinavian meat products group .,atria group is a leading scandinavian meat products group,atria group leading scandinavian meat products group
"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .",positive,"atria will launch a campaign in september to promote the campomos brand on the moscow market , he said .",atria will launch a campaign in september to promote the campomos brand on the moscow market he said,atria launch campaign september promote campomos brand moscow market said
BasWare Order Matching automatically matches purchase invoices with approved purchase orders .,neutral,basware order matching automatically matches purchase invoices with approved purchase orders .,basware order matching automatically matches purchase invoices with approved purchase orders,basware order matching automatically matches purchase invoices approved purchase orders
"BG AD , Bulgaria 's leading Internet company .",positive,"bg ad , bulgaria 's leading internet company .",bg ad bulgaria s leading internet company,bg ad bulgaria s leading internet company
"Capacity of the facility made by Finland 's Vaahto Group is 86,000 tons of light coated paper .",neutral,"capacity of the facility made by finland 's vaahto group is 86,000 tons of light coated paper .",capacity of the facility made by finland s vaahto group is < > tons of light coated paper,capacity facility finland s vaahto group tons light coated paper
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,"capman , an asset manager , has eur 3bn worth of assets under management in the nordic region .",capman an asset manager has eur bn worth of assets under management in the nordic region,capman asset manager eur bn worth assets management nordic region
"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral,"capman has four investment areas ( capman buyout , capman technology , capman life science and capman real estate ) , and each of them has a dedicated team .",capman has four investment areas capman buyout capman technology capman life science and capman real estate and each of them has a dedicated team,capman investment areas capman buyout capman technology capman life science capman real estate dedicated team
Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,castecka said the town hall would hold talks with other investors interested in the zone .,castecka said the town hall would hold talks with other investors interested in the zone,castecka said town hall hold talks investors interested zone
Central Europe is an important market area for Honka .,neutral,central europe is an important market area for honka .,central europe is an important market area for honka,central europe important market area honka
cents Recognize potential partnerships and suppliers .,neutral,cents recognize potential partnerships and suppliers .,cents recognize potential partnerships and suppliers,cents recognize potential partnerships suppliers
Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,positive,certain shareholders have irrevocably agreed to vote in favor of the bond issue .,certain shareholders have irrevocably agreed to vote in favor of the bond issue,certain shareholders irrevocably agreed vote favor bond issue
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",neutral,"changes being announced today will be effective after the close of trading on friday , june 19 , 2009 .",changes being announced today will be effective after the close of trading on friday june < > < >,changes announced today effective close trading friday june
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service .,neutral,chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service .,chief financial officer jim heindlmeyer said beyond oblivion is in advanced talks with the four major recording companies about its service,chief financial officer jim heindlmeyer said oblivion advanced talks major recording companies service
"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,"chs expo freight is a major finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",chs expo freight is a major finnish fair exhibition and culture logistics company that provides logistics services to various events by land air and sea,chs expo freight major finnish fair exhibition culture logistics company provides logistics services various events land air sea
Competition authorities will have to approve the deal before it can be finalized .,neutral,competition authorities will have to approve the deal before it can be finalized .,competition authorities will have to approve the deal before it can be finalized,competition authorities approve deal finalized
"Complete name of shareholder : Otto Henrik Bernhard Nyberg For further information , please contact Maija-Liisa Friman , CEO , tel. +358 9 7597 0711 .",neutral,"complete name of shareholder : otto henrik bernhard nyberg for further information , please contact maija-liisa friman , ceo , tel. +358 9 7597 0711 .",complete name of shareholder otto henrik bernhard nyberg for further information please contact maija liisa friman ceo tel < > < > < > < >,complete shareholder otto henrik bernhard nyberg information contact maija liisa friman ceo tel
Completion of the transaction is subject to a final agreement and a Due Diligence process .,neutral,completion of the transaction is subject to a final agreement and a due diligence process .,completion of the transaction is subject to a final agreement and a due diligence process,completion transaction subject final agreement diligence process
Construction is expected to be completed in the summer of 2011 .,neutral,construction is expected to be completed in the summer of 2011 .,construction is expected to be completed in the summer of < >,construction expected completed summer
Consumers are now increasingly interested in what they can do with heir phones .,neutral,consumers are now increasingly interested in what they can do with heir phones .,consumers are now increasingly interested in what they can do with heir phones,consumers increasingly interested heir phones
"Crucially , the decision to use ETSI ( European Telecommunication Standard Institute ) - backed DVB-H adds to the growing list of operators and equipment manufacturers opting for the standard ( see Global : 20 January 2006 : Competing Technologies Vie for Mobile TV ) .",neutral,"crucially , the decision to use etsi ( european telecommunication standard institute ) - backed dvb-h adds to the growing list of operators and equipment manufacturers opting for the standard ( see global : 20 january 2006 : competing technologies vie for mobile tv ) .",crucially the decision to use etsi european telecommunication standard institute backed dvb h adds to the growing list of operators and equipment manufacturers opting for the standard see global < > january < > competing technologies vie for mobile tv,crucially decision use etsi european telecommunication standard institute backed dvb h adds growing list operators equipment manufacturers opting standard global january competing technologies vie mobile tv
Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,neutral,currently more than 100 of global fortune 500 companies are using ssh security solutions .,currently more than < > of global fortune < > companies are using ssh security solutions,currently global fortune companies using ssh security solutions
"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,"demand seems to have hit bottom now , and some signs of improvement can be seen .",demand seems to have hit bottom now and some signs of improvement can be seen,demand hit signs improvement seen
"DnB Nord of Norway is the `` most likely Nordic buyer '' for Citadele , while Nordea would be a `` good strategic fit '' , according to the document published by Pietiek .",neutral,"dnb nord of norway is the `` most likely nordic buyer '' for citadele , while nordea would be a `` good strategic fit '' , according to the document published by pietiek .",dnb nord of norway is the most likely nordic buyer for citadele while nordea would be a good strategic fit according to the document published by pietiek,dnb nord norway likely nordic buyer citadele nordea good strategic fit according document published pietiek
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,neutral,donations to universities the annual general meeting authorized the board of directors to donate max .,donations to universities the annual general meeting authorized the board of directors to donate max,donations universities annual general meeting authorized board directors donate max
"Dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",neutral,"dopplr members share personal and business travel plans privately with their networks , and highlight interesting places to stay , eat and explore in cities around the world .",dopplr members share personal and business travel plans privately with their networks and highlight interesting places to stay eat and explore in cities around the world,dopplr members share personal business travel plans privately networks highlight interesting places stay eat explore cities world
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,dragonfly love is another video shot from start to finish using the nokia n8 .,dragonfly love is another video shot from start to finish using the nokia n,dragonfly love video shot start finish using nokia n
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral,"during the past 10 years the factory has produced many of nokia 's most popular models including the nokia 2760 , the nokia 6300 as well as nokia 's latest music device the nokia 5800 express music .",during the past < > years the factory has produced many of nokia s most popular models including the nokia < > the nokia < > as well as nokia s latest music device the nokia < > express music,past years factory produced nokia s popular models including nokia nokia nokia s latest music device nokia express music
EB will hold the exclusive rights to market the new entity 's product .,neutral,eb will hold the exclusive rights to market the new entity 's product .,eb will hold the exclusive rights to market the new entity s product,eb hold exclusive rights market new entity s product
"Elcoteq 's Electronics Manufacturing Services ( EMS ) Business Segment serves customers globally in Engineering , Manufacturing and Fulfillment services .",neutral,"elcoteq 's electronics manufacturing services ( ems ) business segment serves customers globally in engineering , manufacturing and fulfillment services .",elcoteq s electronics manufacturing services ems business segment serves customers globally in engineering manufacturing and fulfillment services,elcoteq s electronics manufacturing services ems business segment serves customers globally engineering manufacturing fulfillment services
"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",neutral,"elisa corporation , headquartered in helsinki , is a finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",elisa corporation headquartered in helsinki is a finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services,elisa corporation headquartered helsinki finnish telecomms company offering private corporate customers comprehensive range telecomms services
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",positive,"employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",employees are also better prepared to answer calls since they already have detailed information about the caller before they answer the phone,employees better prepared answer calls detailed information caller answer phone
"Entire paper mills may be set up , especially in the new EU member states .",neutral,"entire paper mills may be set up , especially in the new eu member states .",entire paper mills may be set up especially in the new eu member states,entire paper mills set especially new eu member states
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral,"eqt has completed its exit from salcomp , a finnish company that makes mobile phone chargers , by selling its remaining stake to swedish investment group nordstjernan for about ( euro ) 35 million ( $ 47 million ) .",eqt has completed its exit from salcomp a finnish company that makes mobile phone chargers by selling its remaining stake to swedish investment group nordstjernan for about euro < > million < > million,eqt completed exit salcomp finnish company makes mobile phone chargers selling remaining stake swedish investment group nordstjernan euro million million
"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral,"even so , tulikivi emissions are well below some of the strictest state standards including washington and colorado .",even so tulikivi emissions are well below some of the strictest state standards including washington and colorado,tulikivi emissions strictest state standards including washington colorado
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral,fcc chairman kevin martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,fcc chairman kevin martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks,fcc chairman kevin martin said fair play required extending deregulatory rules digital subscriber lines telecom providers use broadband networks
"FinancialWire ( tm ) , in cooperation with the Investrend Broadcast Syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the FirstAlert ( tm ) Networks oeFirstAlert ( tm ) Daily .",neutral,"financialwire ( tm ) , in cooperation with the investrend broadcast syndicate , also provides complete , daily conference call and webcast schedules as a service to shareholders and investors via the firstalert ( tm ) networks oefirstalert ( tm ) daily .",financialwire tm in cooperation with the investrend broadcast syndicate also provides complete daily conference call and webcast schedules as a service to shareholders and investors via the firstalert tm networks oefirstalert tm daily,financialwire tm cooperation investrend broadcast syndicate provides complete daily conference webcast schedules service shareholders investors firstalert tm networks oefirstalert tm daily
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive,finnish automation solutions developer cencorp corporation ( omx helsinki : cnc1v ) said on friday ( 27 june ) that it has completed employee negotiations regarding a reorganisation of its operations .,finnish automation solutions developer cencorp corporation omx helsinki cnc v said on friday < > june that it has completed employee negotiations regarding a reorganisation of its operations,finnish automation solutions developer cencorp corporation omx helsinki cnc v said friday june completed employee negotiations regarding reorganisation operations
Finnish consumers prefer to buy the cheapest beer brand .,neutral,finnish consumers prefer to buy the cheapest beer brand .,finnish consumers prefer to buy the cheapest beer brand,finnish consumers prefer buy cheapest beer brand
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",positive,"finnish engineering and technology company metso oyj said on may 27 , 2008 it completed the acquisition of paper machinery technology from japanese engineering company mitsubishi heavy industries ( mhi ) for an undisclosed sum .",finnish engineering and technology company metso oyj said on may < > < > it completed the acquisition of paper machinery technology from japanese engineering company mitsubishi heavy industries mhi for an undisclosed sum,finnish engineering technology company metso oyj said completed acquisition paper machinery technology japanese engineering company mitsubishi heavy industries mhi undisclosed sum
"Finnish holding company Panostaja Oyj said on June 12 , 2007 it has signed a letter of intent to acquire local Lahden Lampokasittely Oy and Heatmasters Oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",neutral,"finnish holding company panostaja oyj said on june 12 , 2007 it has signed a letter of intent to acquire local lahden lampokasittely oy and heatmasters oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",finnish holding company panostaja oyj said on june < > < > it has signed a letter of intent to acquire local lahden lampokasittely oy and heatmasters oy active in the heat treatment of metals for a total < > mln euro < > mln,finnish holding company panostaja oyj said june signed letter intent acquire local lahden lampokasittely oy heatmasters oy active heat treatment metals total mln euro mln
Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,finnish paints and coatings company tikkurila oyj ( hel : tik1v ) announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products .,finnish paints and coatings company tikkurila oyj hel tik v announced today the launch of tikkurila prohouse method for protection of wooden surfaces via treatment with ultra pro waterborne products,finnish paints coatings company tikkurila oyj hel tik v announced today launch tikkurila prohouse method protection wooden surfaces treatment ultra pro waterborne products
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",neutral,"following the registration , the number of issued and outstanding shares of basware is 12,890,829 .",following the registration the number of issued and outstanding shares of basware is < > < >,following registration number issued outstanding shares basware
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral,fortum had previously bought the state-held stake in tgk-10 from rao ues during its reform .,fortum had previously bought the state held stake in tgk < > from rao ues during its reform,fortum previously bought state held stake tgk rao ues reform
"Founded in 1649 , Fiskars has over 360 years of product quality excellence and is Finland 's oldest company .",neutral,"founded in 1649 , fiskars has over 360 years of product quality excellence and is finland 's oldest company .",founded in < > fiskars has over < > years of product quality excellence and is finland s oldest company,founded fiskars years product quality excellence finland s oldest company
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,"furthermore , our fully electrically driven cranes are environmentally friendly .",furthermore our fully electrically driven cranes are environmentally friendly,furthermore fully electrically driven cranes environmentally friendly
GenVec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,neutral,genvec is a biopharmaceutical company developing novel therapeutic drugs and vaccines .,genvec is a biopharmaceutical company developing novel therapeutic drugs and vaccines,genvec biopharmaceutical company developing novel therapeutic drugs vaccines
"GeoSentric 's flagship product is the GyPSii platform , which uses pioneering geo-location software technology to connect people to people , and people to places with new and exciting social community and location-specific services .",neutral,"geosentric 's flagship product is the gypsii platform , which uses pioneering geo-location software technology to connect people to people , and people to places with new and exciting social community and location-specific services .",geosentric s flagship product is the gypsii platform which uses pioneering geo location software technology to connect people to people and people to places with new and exciting social community and location specific services,geosentric s flagship product gypsii platform uses pioneering geo location software technology connect people people people places new exciting social community location specific services
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",neutral,"glaston 's well-known brands are bavelloni , in pre-processing machines and tools , tamglass and uniglass , in safety glass machines and albat + wirsam in software solutions .",glaston s well known brands are bavelloni in pre processing machines and tools tamglass and uniglass in safety glass machines and albat wirsam in software solutions,glaston s known brands bavelloni pre processing machines tools tamglass uniglass safety glass machines albat wirsam software solutions
