sentence,label,tokens,word_count,char_count
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,"['dinner', 'the', 'conference', 'program', 'can', 'also', 'be', 'viewed', 'as', 'a', 'live', 'audio', 'webcast', 'through', 'the', 'internet', 'pages', 'at', 'www', 'citycon', 'com']",21,126
"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",neutral,"['g', 'data', 'subscribers', 'are', 'also', 'helping', 'to', 'maintain', 'these', 'growth', 'levels', 'since', 'data', 'only', 'subscriptions', 'push', 'for', 'more', 'multiple', 'sim', 'ownership']",21,139
6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,"['october', 'finnish', 'paints', 'and', 'coatings', 'company', 'tikkurila', 'oyj', 'hel', 'tik', 'v', 'announced', 'today', 'the', 'launch', 'of', 'tikkurila', 'prohouse', 'method', 'for', 'protection', 'of', 'wooden', 'surfaces', 'via', 'treatment', 'with', 'ultra', 'pro', 'waterborne', 'products']",31,219
A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,neutral,"['a', 'cut', 'above', 'bring', 'the', 'outdoors', 'in', 'with', 'these', 'birch', 'branch', 'coasters']",12,68
"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,"['a', 'downloadable', 'instruction', 'sheet', 'instructional', 'video', 'and', 'project', 'ideas', 'for', 'the', 'award', 'winning', 'everywhere', 'punch', 'tm', 'window', 'system', 'can', 'be', 'found', 'at', 'www', 'fiskars', 'com']",25,164
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,"['a', 'new', 'kveyt', 'light', 'variety', 'of', 'suomalainen', 'pekoni', 'marketed', 'under', 'the', 'atria', 'brand', 'name', 'is', 'now', 'available', 'to', 'consumers', 'in', 'finland']",21,126
A PLUMBING business has announced it is sponsoring a professional darts player .,neutral,"['a', 'plumbing', 'business', 'has', 'announced', 'it', 'is', 'sponsoring', 'a', 'professional', 'darts', 'player']",12,80
A realignment of interests in the sector is clearly under way .,positive,"['a', 'realignment', 'of', 'interests', 'in', 'the', 'sector', 'is', 'clearly', 'under', 'way']",11,63
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral,"['a', 'le', 'coq', 'special', 'was', 'developed', 'for', 'the', 'bicentenary', 'of', 'the', 'company', 'and', 'the', 'trade', 'mark', 'the', 'brewer', 'said']",19,105
Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral,"['estimations', 'indicate', 'that', 'even', 'up', 'to', 'different', 'tablet', 'computers', 'or', 'reading', 'devices', 'will', 'be', 'available', 'in']",16,114
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive,"['finnish', 'construction', 'company', 'yit', 'corporation', 'is', 'planning', 'to', 'build', 'about', 'high', 'quality', 'holiday', 'homes', 'near', 'the', 'tahko', 'ski', 'and', 'spa', 'resort', 'in', 'finland']",23,151
"After piloting , the instrument will be further developed according to the experiences gained .",neutral,"['after', 'piloting', 'the', 'instrument', 'will', 'be', 'further', 'developed', 'according', 'to', 'the', 'experiences', 'gained']",13,95
"And when it has lifted the veil on the various types of customer for which it designs its phones , the result is social stereotyping taken to a fine art .",neutral,"['and', 'when', 'it', 'has', 'lifted', 'the', 'veil', 'on', 'the', 'various', 'types', 'of', 'customer', 'for', 'which', 'it', 'designs', 'its', 'phones', 'the', 'result', 'is', 'social', 'stereotyping', 'taken', 'to', 'a', 'fine', 'art']",29,154
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,neutral,"['another', 'noticeable', 'thing', 'is', 'that', 'the', 'search', 'for', 'tata', 'and', 'airtel', 'brands', 'was', 'mostly', 'related', 'to', 'broadband', 'connections']",18,120
As an overall effect of the above-mentioned measures Glaston will recognize non-recurring expenses of EUR 12 million in the fourth quarter of 2008 .,neutral,"['as', 'an', 'overall', 'effect', 'of', 'the', 'above', 'mentioned', 'measures', 'glaston', 'will', 'recognize', 'non', 'recurring', 'expenses', 'of', 'eur', 'million', 'in', 'the', 'fourth', 'quarter', 'of']",23,148
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,"['aspo', 'has', 'also', 'investigated', 'the', 'sales', 'opportunities', 'of', 'kaukomarkkinat', 's', 'electronics', 'business']",12,94
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",positive,"['at', 'a', 'press', 'conference', 'lattelecom', 'board', 'chairman', 'nils', 'melngailis', 'explained', 'that', 'blackstone', 'had', 'been', 'chosen', 'for', 'its', 'experience', 'in', 'the', 'it', 'sector', 'as', 'well', 'as', 'its', 'financial', 'strength']",28,179
"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral,"['at', 'the', 'beginning', 'of', 'the', 'subscription', 'period', 'on', 'may', 'the', 'share', 'subscription', 'price', 'under', 'b', 'option', 'right', 'is', 'eur', 'per', 'share']",21,134
"Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila .",neutral,"['back', 'then', 'tikkurila', 's', 'former', 'owner', 'finnish', 'chemicals', 'company', 'kemira', 'oyj', 'hel', 'kra', 'v', 'distributed', 'an', 'stake', 'to', 'kemira', 'shareholders', 'to', 'facilitate', 'the', 'divestment', 'and', 'listing', 'of', 'tikkurila']",28,195
"Based on negotiations with personnel , some 20 % have indicated their willingness to move to the new location .",neutral,"['based', 'on', 'negotiations', 'with', 'personnel', 'some', 'have', 'indicated', 'their', 'willingness', 'to', 'move', 'to', 'the', 'new', 'location']",16,111
BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,neutral,"['bg', 'crane', 'has', 'a', 'strong', 'customer', 'base', 'in', 'the', 'on', 'road', 'load', 'handling', 'and', 'related', 'installation', 'and', 'service', 'businesses']",19,114
Both Mr Walden and Mr Ignatius will be responsible also for the newspapers ' business result .,neutral,"['both', 'mr', 'walden', 'and', 'mr', 'ignatius', 'will', 'be', 'responsible', 'also', 'for', 'the', 'newspapers', 'business', 'result']",15,94
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,"['capitex', 'kalmar', 'will', 'continue', 'to', 'be', 'responsible', 'for', 'the', 'maintenance', 'and', 'technical', 'development', 'of', 'the', 'services']",16,110
"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",neutral,"['cathay', 'forest', 's', 'strategy', 'is', 'to', 'develop', 'sustainable', 'regenerative', 'forest', 'assets']",11,82
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication process .,neutral,"['changes', 'to', 'the', 'as', 'built', 'models', 'from', 'the', 'design', 'were', 'communicated', 'to', 'the', 'subcontractors', 'to', 'accommodate', 'them', 'into', 'the', 'steel', 'and', 'grc', 'glass', 'reinforced', 'concrete', 'fabrication', 'process']",27,177
"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",neutral,"['chargers', 'manufactured', 'under', 'the', 'new', 'platform', 'are', 'suitable', 'for', 'mobile', 'phones', 'navigators', 'digital', 'cameras', 'bluetooth', 'head', 'sets', 'media', 'players', 'and', 'other', 'electronic', 'devices']",23,175
"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",positive,"['com', 'and', 'we', 'are', 'constantly', 'planning', 'new', 'ways', 'to', 'serve', 'our', 'customers', 'online', 'on', 'a', 'more', 'comprehensive', 'basis', 'says', 'matti', 'leminen', 'president', 'of', 'anttila', 'oy']",25,157
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral,"['currently', 'yit', 'builds', 'a', 'housing', 'estate', 'zapadnye', 'vorota', 'square', 'metres', 'in', 'the', 'city', 'and', 'a', 'house', 'square', 'metres', 'which', 'will', 'be', 'completed', 'at', 'the', 'end', 'of']",26,167
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,"['customers', 'in', 'a', 'wide', 'range', 'of', 'industries', 'use', 'our', 'stainless', 'steel', 'and', 'services', 'worldwide']",14,88
Delivery will start immediately in June 2008 and will be completed in 2008 .,neutral,"['delivery', 'will', 'start', 'immediately', 'in', 'june', 'and', 'will', 'be', 'completed', 'in']",11,76
"Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th .",neutral,"['demonstrations', 'of', 'the', 'broad', 'capabilities', 'of', 'the', 'mobility', 'business', 'suite', 'will', 'be', 'organized', 'during', 'the', 'gsm', 'world', 'congress', 'in', 'barcelona', 'from', 'february', 'th', 'to', 'th']",25,164
Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral,"['each', 'option', 'right', 'entitles', 'the', 'holder', 'to', 'subscribe', 'for', 'one', 'new', 'share', 'at', 'a', 'subscription', 'price', 'of', 'eur', 'during', 'the', 'subscription', 'period', 'which', 'ends', 'on', 'december']",26,169
Elisa will expand the use of this technology provided the pilot proves successful .,neutral,"['elisa', 'will', 'expand', 'the', 'use', 'of', 'this', 'technology', 'provided', 'the', 'pilot', 'proves', 'successful']",13,83
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral,"['elite', 'residence', 'tower', 'a', 'new', 'development', 'by', 'tameer', 'is', 'located', 'at', 'the', 'heart', 'of', 'dubai', 'marina']",16,95
Europe needs 17 new large paper machines .,neutral,"['europe', 'needs', 'new', 'large', 'paper', 'machines']",6,42
Exel wants to serve its industrial customers with individual products .,neutral,"['exel', 'wants', 'to', 'serve', 'its', 'industrial', 'customers', 'with', 'individual', 'products']",10,71
"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",neutral,"['finnish', 'bank', 'pohjola', 'bank', 'plc', 'hel', 'poh', 's', 'said', 'today', 'that', 'it', 'will', 'issue', 'a', 'eur', 'million', 'usd', 'm', 'index', 'linked', 'bond', 'pohjola', 'tutkimuksen', 'tahdet', 'viii', 'pohjola', 'research', 'stars', 'viii', 'on', 'october']",32,214
"Finnish diversified holding company Aspo Oyj said on September 8 , 2008 that it will sell the Finnish tape business of its Kaukomarkkinat unit to local Oy Telpak Ab .",neutral,"['finnish', 'diversified', 'holding', 'company', 'aspo', 'oyj', 'said', 'on', 'september', 'that', 'it', 'will', 'sell', 'the', 'finnish', 'tape', 'business', 'of', 'its', 'kaukomarkkinat', 'unit', 'to', 'local', 'oy', 'telpak', 'ab']",26,166
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,"['finnish', 'retailer', 'stockmann', 'has', 'won', 'approval', 'from', 'the', 'board', 'of', 'swedish', 'rival', 'lindex', 'for', 'a', 'public', 'tender', 'offer', 'with', 'the', 'aim', 'of', 'expanding', 'the', 'companies', 'presence', 'in', 'russia', 'and', 'other', 'cee', 'countries', 'stockmann', 'said', 'monday']",35,219
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",negative,"['finnish', 'software', 'and', 'hardware', 'developer', 'elektrobit', 'oyj', 'hel', 'ebg', 'v', 'or', 'eb', 'said', 'today', 'it', 'will', 'temporarily', 'lay', 'off', 'up', 'to', 'people', 'for', 'a', 'maximum', 'of', 'day', 'in', 'finland', 'aiming', 'to', 'achieve', 'cost', 'savings', 'of', 'eur', 'million', 'usd', 'm', 'in', 'the', 'second', 'half', 'of']",44,255
"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",neutral,"['following', 'the', 'impact', 'the', 'altima', 'hit', 'a', 'utility', 'pole', 'causing', 'a', 'live', 'electric', 'line', 'to', 'fall', 'onto', 'the', 'roadway']",19,110
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,"['from', 'merisatama', 'to', 'the', 'far', 'corners', 'of', 'the', 'world', 'asfaltti', 'osakeyhti', 'lemmink', 'inen', 'was', 'established', 'in', 'by', 'a', 'group', 'of', 'master', 'builders', 'in', 'helsinki', 'as', 'a', 'specialist', 'business', 'and', 'subcontractor']",30,193
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,"['f', 'secure', 'a', 'developer', 'of', 'security', 'solutions', 'as', 'a', 'service', 'through', 'internet', 'service', 'providers', 'and', 'mobile', 'operators', 'announced', 'results', 'from', 'its', 'annual', 'online', 'wellbeing', 'survey']",25,175
"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",neutral,"['further', 'concrete', 'cooperation', 'is', 'also', 'carried', 'out', 'through', 'various', 'projects', 'doctoral', 'theses', 'and', 'diploma', 'dissertations']",15,119
"Furthermore , the company will sell the warehouse and office buildings in Loudeac and Saint Marcel and lease new joint premises for these operations in Morvillars .",neutral,"['furthermore', 'the', 'company', 'will', 'sell', 'the', 'warehouse', 'and', 'office', 'buildings', 'in', 'loudeac', 'and', 'saint', 'marcel', 'and', 'lease', 'new', 'joint', 'premises', 'for', 'these', 'operations', 'in', 'morvillars']",25,164
"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however .",positive,"['handelsbanken', 'ranked', 'before', 'local', 'cooperative', 'banks', 'and', 'aktia', 'in', 'customer', 'loyalty', 'this', 'time', 'too', 'however']",15,107
He is resting comfortably and is looking forward to getting back to work . '',neutral,"['he', 'is', 'resting', 'comfortably', 'and', 'is', 'looking', 'forward', 'to', 'getting', 'back', 'to', 'work']",13,77
"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",neutral,"['if', 'the', 'employee', 'leaves', 'the', 'company', 'within', 'the', 'duration', 'of', 'the', 'cover', 'the', 'money', 'invested', 'to', 'ensure', 'commitment', 'is', 'returned', 'to', 'the', 'company']",23,138
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,"['in', 'kemira', 'recorded', 'revenue', 'of', 'approximately', 'eur', 'billion', 'and', 'had', 'a', 'staff', 'of']",13,93
"In accordance with the terms and conditions of Alma Media 's 2006 option program , the share subscription price for the 2006A option rights was EUR 4.88 per share and the book countervalue EUR 0.60 per share .",neutral,"['in', 'accordance', 'with', 'the', 'terms', 'and', 'conditions', 'of', 'alma', 'media', 's', 'option', 'program', 'the', 'share', 'subscription', 'price', 'for', 'the', 'a', 'option', 'rights', 'was', 'eur', 'per', 'share', 'and', 'the', 'book', 'countervalue', 'eur', 'per', 'share']",33,209
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral,"['in', 'addition', 'to', 'supplying', 'a', 'new', 'headbox', 'and', 'a', 'modern', 'sizing', 'and', 'coating', 'unit', 'vaahto', 'group', 'will', 'provide', 'erection', 'supervision', 'training', 'and', 'start', 'up', 'services']",25,159
"In Finland , Martela offers a comprehensive service that can cover the entire process of change from initial inventory and design to removal and maintenance .",neutral,"['in', 'finland', 'martela', 'offers', 'a', 'comprehensive', 'service', 'that', 'can', 'cover', 'the', 'entire', 'process', 'of', 'change', 'from', 'initial', 'inventory', 'and', 'design', 'to', 'removal', 'and', 'maintenance']",24,158
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral,"['in', 'finland', 'the', 'corresponding', 'service', 'is', 'alma', 'media', 's', 'etuovi', 'com', 'finland', 's', 'most', 'popular', 'and', 'best', 'known', 'nationwide', 'online', 'service', 'for', 'home', 'and', 'property', 'sales']",26,163
"In Penttil+ñ 's vision , the most important reason for the transaction is Russia .",neutral,"['in', 'penttil', 's', 'vision', 'the', 'most', 'important', 'reason', 'for', 'the', 'transaction', 'is', 'russia']",13,82
"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",positive,"['in', 'recent', 'months', 'capman', 'has', 'taken', 'significant', 'steps', 'to', 'simplify', 'its', 'operations', 'ceo', 'lennart', 'simonsen', 'said']",16,110
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"['in', 'stead', 'of', 'being', 'based', 'on', 'a', 'soft', 'drink', 'as', 'is', 'usual', 'the', 'teho', 'energy', 'drink', 'is', 'made', 'with', 'fresh', 'water']",21,104
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",neutral,"['in', 'the', 'baltics', 'the', 'merger', 'of', 'the', 'businesses', 'of', 'the', 'two', 'is', 'expected', 'to', 'be', 'completed', 'in', 'early']",18,100
"In the next few years , the ICT sector 's share of electricity consumption will be raised by the increase in the popularity of smartphones .",neutral,"['in', 'the', 'next', 'few', 'years', 'the', 'ict', 'sector', 's', 'share', 'of', 'electricity', 'consumption', 'will', 'be', 'raised', 'by', 'the', 'increase', 'in', 'the', 'popularity', 'of', 'smartphones']",24,140
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",neutral,"['in', 'the', 'video', 'above', 'marimekko', 's', 'design', 'manager', 'noora', 'niiininoski', 'explains', 'that', 'the', 'brands', 'are', 'a', 'natural', 'fit', 'for', 'each', 'other', 'because', 'they', 'both', 'have', 'a', 'timeless', 'style']",28,168
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 .,neutral,"['it', 'also', 'confirmed', 'its', 'earnings', 'guidance', 'for', 'the', 'whole', 'issued', 'in', 'its', 'report', 'for', 'the', 'whole']",16,100
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year .",positive,"['it', 'also', 'has', 'strong', 'assets', 'in', 'electronic', 'media', 'employing', 'an', 'increase', 'of', 'percent', 'on', 'last', 'year']",16,104
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral,"['it', 'is', 'hand', 'painted', 'resin', 'with', 'real', 'trebles', 'and', 'is', 'cm', 'long', 'by', 'cm', 'deep', 'from', 'top', 'to', 'bottom', 'of', 'the', 'middle', 'hook']",23,117
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,"['it', 'is', 'part', 'of', 'the', 'development', 'of', 'the', 'world', 'class', 'magnetite', 'deposit', 'at', 'karara', 'which', 'has', 'the', 'known', 'potential', 'for', 'over', 'million', 'metric', 'tons', 'of', 'annual', 'processing', 'of', 'magnetite', 'over', 'its', 'estimated', 'year', 'life']",34,208
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",neutral,"['it', 'is', 'the', 'last', 'smartphone', 'running', 'maemo', 'which', 'is', 'to', 'be', 'replaced', 'with', 'meego', 'a', 'joint', 'project', 'between', 'nokia', 'intel', 'and', 'the', 'open', 'source', 'community']",25,150
"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,"['it', 'makes', 'a', 'wide', 'range', 'of', 'mobile', 'devices', 'with', 'services', 'and', 'software', 'that', 'enable', 'people', 'to', 'experience', 'music', 'navigation', 'video', 'television', 'imaging', 'games', 'and', 'business', 'mobility']",26,181
It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,neutral,"['it', 'offers', 'advanced', 'machinery', 'maintenance', 'and', 'process', 'development', 'services', 'to', 'the', 'pulp', 'and', 'paper', 'industry', 'in', 'northern', 'china']",18,124
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral,"['it', 'operates', 'under', 'three', 'distinct', 'brands', 'united', 'supermarkets', 'market', 'street', 'and', 'united', 'supermercado']",13,103
"It s an area that is highly valued , because most of the land there has already been built on .",neutral,"['it', 's', 'an', 'area', 'that', 'is', 'highly', 'valued', 'because', 'most', 'of', 'the', 'land', 'there', 'has', 'already', 'been', 'built', 'on']",19,95
"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years .",positive,"['kaido', 'kaare', 'general', 'director', 'for', 'atria', 'eesti', 'says', 'the', 'company', 's', 'investments', 'in', 'the', 'upgrade', 'of', 'the', 'pig', 'farms', 'surpass', 'eek', 'mn', 'eur', 'mn', 'usd', 'mn', 'in', 'the', 'past', 'years']",30,175
"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",neutral,"['kaukopartio', 'oy', 'has', 'acquired', 'specialized', 'knowledge', 'in', 'far', 'eastern', 'operations', 'and', 'industrial', 'sourcing', 'services', 'are', 'their', 'core', 'competence']",18,138
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,"['kaupthing', 'bank', 'will', 'publish', 'its', 'annual', 'results', 'for', 'before', 'markets', 'open', 'on', 'thursday', 'january']",14,100
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,"['london', 'afx', 'uk', 'and', 'european', 'brokers', 'recommendations', 'issued', 'today', 'as', 'collated', 'by', 'afx', 'news', 'from', 'a', 'range', 'of', 'market', 'sources']",20,126
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",neutral,"['london', 'icis', 'tikkurila', 'has', 'completed', 'the', 'sale', 'of', 'its', 'powder', 'coatings', 'business', 'to', 'finnish', 'industrial', 'coatings', 'firm', 'teknos', 'group', 'the', 'finland', 'based', 'decorative', 'paints', 'company', 'said', 'on', 'wednesday']",28,194
The fine print is here .,neutral,"['the', 'fine', 'print', 'is', 'here']",5,24
M. and a Master of Business Administration MBA .,neutral,"['m', 'and', 'a', 'master', 'of', 'business', 'administration', 'mba']",8,48
Martela is a front runner in providing innovative solutions and customer service Martela designs and supplies interior solutions for working environments and public spaces .,neutral,"['martela', 'is', 'a', 'front', 'runner', 'in', 'providing', 'innovative', 'solutions', 'and', 'customer', 'service', 'martela', 'designs', 'and', 'supplies', 'interior', 'solutions', 'for', 'working', 'environments', 'and', 'public', 'spaces']",24,173
More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,neutral,"['more', 'than', 'special', 'events', 'in', 'the', 'three', 'counties', 'during', 'four', 'months', 'were', 'hosted', 'by', 'the', 'library', 'system', 'and', 'its', 'nine', 'branch', 'libraries']",22,134
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,"['ms', 'laakso', 'will', 'be', 'responsible', 'for', 'hkscan', 's', 'hr', 'functions', 'and', 'for', 'their', 'development', 'in', 'all', 'of', 'the', 'group', 'smarket', 'areas']",21,120
NetCom expects to complete Turbo 3G deployment in these areas this year .,neutral,"['netcom', 'expects', 'to', 'complete', 'turbo', 'g', 'deployment', 'in', 'these', 'areas', 'this', 'year']",12,73
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral,"['new', 'delhi', 'july', 'sahlberg', 'teppo', 'kallio', 'timo', 'and', 'mustonen', 'tuomas', 'of', 'm', 'real', 'oyj', 'espoo', 'finland', 'have', 'developed', 'novel', 'markings', 'and', 'methods', 'of', 'producing', 'the', 'same']",26,169
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",neutral,"['nokia', 'siemens', 'networks', 'provides', 'mobile', 'and', 'fixed', 'network', 'infrastructure', 'communications', 'and', 'networks', 'service', 'platforms', 'as', 'well', 'as', 'professional', 'services', 'to', 'operators', 'and', 'service', 'providers']",24,193
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,"['nokia', 'will', 'continue', 'to', 'invest', 'in', 'future', 'development', 'of', 'qt', 'for', 'the', 'benefit', 'of', 'all', 'users', 'both', 'commercial', 'and', 'lgpl']",20,115
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,neutral,"['nokian', 'tyres', 'tyres', 'are', 'considered', 'genuine', 'winter', 'tyres', 'in', 'russia']",10,68
"Of these shares 29,659,239 are held by the Company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",neutral,"['of', 'these', 'shares', 'are', 'held', 'by', 'the', 'company', 'or', 'its', 'group', 'companies', 'and', 'the', 'number', 'of', 'outstanding', 'shares', 'and', 'voting', 'rights', 'attached', 'to', 'the', 'shares', 'thus', 'amounts', 'to']",28,181
"On the other hand , Finnish sawmills ' production has decreased even more .",negative,"['on', 'the', 'other', 'hand', 'finnish', 'sawmills', 'production', 'has', 'decreased', 'even', 'more']",11,75
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,"['one', 'of', 'the', 'installed', 'elevators', 'will', 'be', 'a', 'double', 'deck', 'elevator', 'which', 'enables', 'more', 'efficient', 'use', 'of', 'the', 'building', 's', 'core', 'space']",22,128
"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral,"['one', 'of', 'the', 'opportunities', 'would', 'be', 'to', 'bring', 'all', 'baltic', 'meat', 'processing', 'to', 'rakvere', 'like', 'processing', 'was', 'concentrated', 'at', 'the', 'vantaa', 'meat', 'packing', 'unit', 'in', 'finland', 'the', 'paper', 'wrote']",29,178
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,"['outotec', 's', 'scope', 'of', 'delivery', 'covers', 'the', 'engineering', 'supply', 'of', 'special', 'equipment', 'and', 'services', 'for', 'a', 'calcination', 'plant', 'with', 'two', 'circulating', 'fluid', 'bed', 'calciners']",24,161
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,"['outotec', 's', 'scope', 'of', 'delivery', 'includes', 'design', 'basic', 'engineering', 'and', 'supply', 'of', 'proprietary', 'equipment', 'for', 'a', 'sinter', 'plant', 'with', 'a', 'grate', 'area', 'of', 'square', 'meters']",25,160
"Participants at any of the book discussions or other special events , or visitors to the car dealership were eligible to enter the drawing for the 2005 silver , four-door Altima .",neutral,"['participants', 'at', 'any', 'of', 'the', 'book', 'discussions', 'or', 'other', 'special', 'events', 'or', 'visitors', 'to', 'the', 'car', 'dealership', 'were', 'eligible', 'to', 'enter', 'the', 'drawing', 'for', 'the', 'silver', 'four', 'door', 'altima']",29,179
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral,"['peigs', 'www', 'peigs', 'se', 'will', 'become', 'part', 'of', 'sardus', 'latta', 'maltider', 'light', 'meals', 'unit']",14,79
Pharmaceuticals - Belgium This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Belgium .,neutral,"['pharmaceuticals', 'belgium', 'this', 'brand', 'new', 'market', 'analysis', 'gives', 'a', 'clear', 'overview', 'of', 'the', 'actual', 'situation', 'and', 'future', 'outlook', 'of', 'the', 'pharmaceutical', 'market', 'in', 'belgium']",24,164
